subject,vviq_sum,irq_visual_mean,irq_verbal_mean,osviq_object_mean,osviq_verbal_mean,vviq_z,irq_visual_z,irq_verbal_z,irq_ortho_z,irq_manipulation_z,osviq_object_z,osviq_spatial_z,osviq_verbal_z,match_effect_rt,match_effect_accuracy
n23n5ehq,41.0,2.9,3.25,2.8666666666666667,2.8666666666666667,-0.8793306714289902,-1.1762772432873954,-0.8155080173964251,-0.5528590051301522,-0.1116234996121456,-0.831749734167828,1.2286639092539426,-0.44322757430631393,118.73333333333346,-0.18888888888888888
notnzuec,53.0,3.8,3.8333333333333335,4.0,2.3333333333333335,0.1309918572659243,0.03850227869844978,-0.020053475837616346,0.10859968406388842,-2.462916761325794,0.7661434819153186,-0.8924037544184086,-1.35063124439191,-3.756321839080556,-0.03448275862068961
o1h2u8mj,46.0,3.4,3.25,3.2000000000000006,3.7999999999999994,-0.45836295113944253,-0.5013997310730368,-0.8155080173964251,-0.5528590051301522,-1.6231691678566336,-0.36178114120219645,-0.15003007213308597,1.1447288483434794,-8.143939393939377,0.04924242424242431
omu6yu7u,42.0,4.2,3.3333333333333335,3.8666666666666667,2.466666666666667,-0.7951371273710807,0.578404288469937,-0.7018716543165952,0.7700583732579285,0.05632601908168642,0.5781560447290661,0.9105037597030904,-1.1237803268705113,94.13333333333333,0.033333333333333326
oy2smn2y,69.0,4.3,3.5,4.2,2.6666666666666665,1.4780885621924773,0.7133797909128082,-0.4745989281569357,-0.38749433283164214,1.2319726499385106,1.0481246376946975,0.27418346060138427,-0.7835039505884128,396.58850574712653,-0.13218390804597702
pbedve5q,59.0,3.6,3.8333333333333335,3.533333333333333,3.6,0.6361531216133816,-0.23144872618729323,-0.020053475837616346,-0.5528590051301522,-0.1116234996121456,0.10818745176343454,-0.8924037544184086,0.8044524720613813,-113.89655172413791,0.06896551724137934
pcbd5n95,42.0,4.0,3.5833333333333335,3.4,2.8,-0.7951371273710807,0.3084532835841934,-0.3609625650771057,-0.22212966053313163,0.22427553777551842,-0.07979998542281795,-0.5742436048675562,-0.5566530330670137,15.085185185185196,0.0037037037037037646
phobq0bx,62.0,3.6,4.166666666666667,3.733333333333333,3.8666666666666667,0.8887337537871102,-0.23144872618729323,0.43449197648170307,-0.8835883497271724,1.3999221686323426,0.39016860754281363,0.27418346060138427,1.2581543071041792,-12.518571428571477,0.1071428571428571
ps0dkhx4,42.0,3.7,4.0,2.8666666666666667,2.4,-0.7951371273710807,-0.09647322374442144,0.20721925032204305,-0.22212966053313163,0.05632601908168642,-0.8317497341678279,0.4862902269686194,-1.2372057856312109,-8.142857142857167,0.03383458646616544
pw93ub8j,47.0,4.0,4.166666666666667,4.0,2.3333333333333335,-0.37416940708153296,0.3084532835841934,0.43449197648170307,0.9354230455564391,0.22427553777551842,0.7661434819153186,-1.316617287152879,-1.35063124439191,5.561904761904771,0.0
qg5da6jx,42.0,4.4,3.5,2.933333333333333,2.6666666666666665,-0.7951371273710807,0.8483552933556806,-0.4745989281569357,0.7700583732579285,-0.6154720556936416,-0.7377560155747019,-1.528724053520114,-0.7835039505884128,174.18253968253964,-0.001322751322751392
qpv9lqfk,78.0,4.2,3.5833333333333335,3.8,2.0,2.235830458713663,0.578404288469937,-0.3609625650771057,-0.22212966053313163,0.5601745751631825,0.4841623261359395,2.289197741090118,-1.917758538195408,140.79310344827582,0.10344827586206906
r0g5jxhl,16.0,1.5,3.5,1.3333333333333333,3.0,-2.984169272876729,-3.065934277487599,-0.4745989281569357,-0.7182236774286622,-0.7834215743874736,-2.9936052618097326,0.8044503765194724,-0.21637665678491483,74.9310344827586,-0.06896551724137934
